,Tweets,User,User_location,fav_count,rt_count,tweet_date
744,"RT @airnewsalerts: Indian Council of Medical Research, #ICMR says that a total 1,25,428 samples of #coronavirus were tested in the last 24…",keerthi,,0,14,2020-05-31 06:38:06
745,"RT @PIBMumbai: I have full faith that you will follow the precautions to protect us from #COVID19, for you, your loved ones and for the nat…",Andheri People ????,"Andheri K- East & K- West, ",0,3,2020-05-31 06:38:05
746,RT @BeingSalmanKhan: Thank u ?? @CMOMaharashtra @Iamrahulkanal @MumbaiPolice  #IndiaFightsCorona https://t.co/GtBL3UrTWC,Sandesh Deshmukh,,0,4006,2020-05-31 06:38:05
747,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Passengers bound for Amritsar and Srinagar flight arrive at Hamad International Airport in Doha.…",PIB in Chhattisgarh,"Raipur, India",0,20,2020-05-31 06:38:03
748,"RT @PIBMumbai: We should not let go our guard against #COVID19; the fight against Corona remains as serious as before, it should be taken a…",Andheri People ????,"Andheri K- East & K- West, ",0,3,2020-05-31 06:37:59
749,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Passengers bound for Amritsar and Srinagar flight arrive at Hamad International Airport in Doha.…",rohitash kumar,jhunjhunu Rajasthan,0,20,2020-05-31 06:37:53
750,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Passengers bound for Amritsar and Srinagar flight arrive at Hamad International Airport in Doha.…",Sandha Chandra Sekhar,,0,20,2020-05-31 06:37:51
751,Its all about good governance. #YogiBabu #IndiaFightsCorona https://t.co/Vqi2Mc157e,Onkar Pandey,"Pune, Nagpur - India",0,0,2020-05-31 06:37:42
752,RT @surnell: #IndiaFightsCorona #Karnataka @CMofKarnataka @drashwathcn @sriramulubjp @mla_sudhakar These two tweets makes enough case to ma…,Dr. Kiran K,"Bengaluru South, India",0,6,2020-05-31 06:37:38
753,RT @sriram_278: All state governments stop this non-sense of not allowing your own statesmen to your state. All are citizens of #india. Acc…,NaveenKumar P,Vaniyambadi/Bangalore,0,2,2020-05-31 06:37:28
754,"RT @BOC_MIB: #IndiaFightsCorona:

#COVID19 India UPDATE:

??Total Cases - 182143
??Active Cases - 89995
??Cured/Discharged- 86983
??Deaths…",Field Outreach Bureau - Goa,"Panaji, Goa",0,11,2020-05-31 06:37:13
755,"We are observing #WorldEnvironmentDay on June 5, this year's theme is biodiversity, which is very relevant today. L… https://t.co/ReK1neDTbF",Jangir Kishor ????,India,0,0,2020-05-31 06:37:12
756,RT @airnewsalerts: TRUENAT testing facility becomes operational in Kollam District hospital in #Kerala which gives #COVID19 results in just…,Anita Chandrasekhar,,0,33,2020-05-31 06:37:08
757,"RT @noida_authority: Sanitisation of Noida's Sector-18 market is currently underway, along with other locations, as per the norms prescribe…",????P@nkaj_Mittal _official,"???????, ????",0,8,2020-05-31 06:37:06
758,RT @BeingSalmanKhan: Thank u ?? @CMOMaharashtra @Iamrahulkanal @MumbaiPolice  #IndiaFightsCorona https://t.co/GtBL3UrTWC,Bhubaneswar Salman Khan FC,"Bhubaneshwar, India",0,4006,2020-05-31 06:37:01
759,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Passengers bound for Amritsar and Srinagar flight arrive at Hamad International Airport in Doha.…","Field Outreach Bureau,Udhampur(J&K)","Udhampur, Jammu And Kashmir",0,20,2020-05-31 06:36:54
760,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Passengers bound for Amritsar and Srinagar flight arrive at Hamad International Airport in Doha.…",Shashank Sachan,"Bilaspur, India",0,20,2020-05-31 06:36:50
761,"RT @airnewsalerts: 60 labourers left for their homes in Jharkhand by special private bus, maintaining social distancing norms, from the ren…",A V,"New Delhi, India",0,12,2020-05-31 06:36:50
762,"@DheepJoy Hey Dheep, the thread from @PIBMumbai is ready and compiled. Be sure to mention us from the last tweet to… https://t.co/OnqjXEcLyb",Threader,Author? You can opt-out with the keyword “pause”,0,0,2020-05-31 06:36:48
763,"RT @airnewsalerts: 60 labourers left for their homes in Jharkhand by special private bus, maintaining social distancing norms, from the ren…",AIR News Ahmedabad,"Navrangpura, Ahmadabad, India",0,12,2020-05-31 06:36:42
764,swachhbharat: A 99-year-old lady in #Mumbai is helping the migrant workers by preparing food. A great initiative du… https://t.co/zkylQqLUiV,Etah,"???, ????",1,0,2020-05-31 06:36:15
765,"RT @noida_authority: Sanitisation of Noida's Sector-18 market is currently underway, along with other locations, as per the norms prescribe…",RAMEEZ,Noida ,0,8,2020-05-31 06:36:11
766,"I have full faith that you will follow the precautions to protect us from #COVID19, for you, your loved ones and fo… https://t.co/NOsooVyPIU",PIB in Maharashtra ???? #MaskYourself ??,"Mumbai, India",1,3,2020-05-31 06:36:05
767,"RT @Diya_Singh_: Lockdown is not same for everyone??

Please help needed people??
#IndiaFightsCorona #COVID?19 #coronavirus #coronavirusinind…",Patel Mahasabha #??_??_????_????????_????,Follow us & get follow back,0,3,2020-05-31 06:35:42
768,"@offl_Lawrence Well done ???? Garu. 

#BeingHuman #HumanityFirst #IndiaFightsCorona",Being Kunal,"Gujarat, India",0,0,2020-05-31 06:35:37
769,RT @BeingSalmanKhan: Thank u ?? @CMOMaharashtra @Iamrahulkanal @MumbaiPolice  #IndiaFightsCorona,Apu ?,"Sylhet, Bangladesh",0,4006,2020-05-31 06:35:35
770,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Passengers bound for Amritsar and Srinagar flight arrive at Hamad International Airport in Doha.…",???? ????? ????? ???????? - King of ?? ????????,"UP-13, 203001",0,20,2020-05-31 06:35:34
771,"RT @AkashvaniAIR: #MKB Speaking of those affected by #Coronavirus with newer challenges and consequent hardships, a scourge that does not h…",AIR Ambikapur,"Ambikapur, Chhattisgarh",0,6,2020-05-31 06:35:10
772,SKJAIN Preaident S3ctor 18 market Association Noida during sanitisation of Noida's Sector-18 market by NA health te… https://t.co/E6wX9mJcPt,Sushil Kumar Jain,Noida Uttar pradesh India,6,5,2020-05-31 06:35:07
773,"RT @airnewsalerts: My dear countrymen, Namaskar! 

Our #MannKiBaat too has not remained untouched by the effect of Corona: #PMonAIR 

#Indi…",A V,"New Delhi, India",0,15,2020-05-31 06:35:02
774,RT @surnell: #IndiaFightsCorona Here are our indefatigable  #KarnatakaCivilDefence Team ready for COVID duty in @BLRAirport 10pm to 6am shi…,Dr. Kiran K,"Bengaluru South, India",0,12,2020-05-31 06:35:01
775,"RT @1VaibhavKaushik: @PMOIndia We all are stand with you Shri Narendra Modi Ji.
#coronavirus 
#IndiaFightsCorona 
#MannKiBaat",Smital Patel,,0,2,2020-05-31 06:34:59
776,"India Coronavirus Death Toll Passes China's 

https://t.co/9kEhEQMkYa 

#coronavirus  #China #coronadeath… https://t.co/MoVgX0vKm4",The Eastern Link,India,0,0,2020-05-31 06:34:57
777,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Next phase of Operation #SamudraSetu to repatriate Indian citizens from overseas will commence tom…",Shashank Sachan,"Bilaspur, India",0,26,2020-05-31 06:34:56
778,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

""Smokers are more likely to get a severe case of #COVID19"" - @WHO 

#StaySafe #StayAtHome",Shashank Sachan,"Bilaspur, India",0,22,2020-05-31 06:34:53
779,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

@DGCAIndia says the suspension of scheduled international commercial passenger flights will contin…",Shashank Sachan,"Bilaspur, India",0,36,2020-05-31 06:34:50
780,"RT @SRKCHENNAIFC: Following our idol @iamsrk's noble work for our country in this #Covid19 fight, here’s our little contributions to @MeerF…",Proud Indian,,0,90,2020-05-31 06:34:44
781,"We should not let go our guard against #COVID19; the fight against Corona remains as serious as before, it should b… https://t.co/58Kb4LrM60",PIB in Maharashtra ???? #MaskYourself ??,"Mumbai, India",3,3,2020-05-31 06:34:43
