,Tweets,User,User_location,fav_count,rt_count,tweet_date
34,RT @threadreaderapp: @panchmukesh Halo! please find the unroll here: @ShamikaRavi: #DailyUpdate #COVID19India As total cases continue to ri…,Panch Mukesh,"Burla, India",0,1,2020-05-31 08:25:23
35,"Jai ho @ArvindKejriwal #AAP

Delhi No 1
1st Send back to poor people to NCT border

1st CM to declare live with… https://t.co/nWGY4tT7tF",nd,"Pune, India",0,0,2020-05-31 08:25:11
36,"RT @rohit2093: @ApniShala's COVID response for children has been featured in today's @mid_day. 

Read on: https://t.co/Ba3FB5BbWw

#SocialE…",Apni Shala,Mumbai,0,1,2020-05-31 08:24:50
37,"RT @TOIDelhi: PPE kits, masks and sanitisers on sale at Bhagirath Palace, Chandni Chowk #Delhi #COVID19India https://t.co/DdU9YdDL7g",Prateek Ahluwalia,"New Delhi, India",0,6,2020-05-31 08:24:49
38,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Rahul,,0,15,2020-05-31 08:24:42
39,"@ApniShala's COVID response for children has been featured in today's @mid_day. 

Read on: https://t.co/Ba3FB5BbWw… https://t.co/2ugBRTK0mp",Rohit,Mumbai,1,1,2020-05-31 08:24:12
40,"RT @AvdheshanandG: Your surrounding environment influences the state of your mind.  Try to create a divine, pure and beautiful surrounding…",rajesh,,0,217,2020-05-31 08:24:08
41,May god rest the soul of great warrior ????@DelhiPolice #CoronaWarriorsIndia #COVID19India #DelhiPolice #dilkipolice https://t.co/Tkh5pQ5svG,Adv Aman Yadav,"New Delhi, India",1,0,2020-05-31 08:24:02
42,"@nitin_gadkari @RBI
 MSMEs who have availed loans under retail, but depositing loan installment from MSME account s… https://t.co/Yba6C7gCyb",Nishant Chawla,"Delhi, India",0,0,2020-05-31 08:23:59
43,78 years' worth of life lessons: @SrBachchan reflects on what he learned during the #COVID19India #lockdown:… https://t.co/JAb8zEOBLo,City Times,"Dubai, UAE",0,0,2020-05-31 08:23:56
44,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Tony Joseph,India,0,15,2020-05-31 08:23:29
45,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,Monotosh Mittra,India,0,93,2020-05-31 08:23:19
46,"People's kitchen. Konnagar, Hooghly. 

Left activists in West Bengal have set up community kitchens in villages &amp; m… https://t.co/yetzyjdlTK",Mayukh Biswas,"New Delhi, Kolkata",2,0,2020-05-31 08:22:49
47,"RT @ranjona: If laypersons raise questions about the efficacy of a badly planned lockdown, we get called prophets of doom.
This letter is b…",Dr. Rajkumar,"Uttar Pradesh, India",0,20,2020-05-31 08:22:19
48,"From February onwards this year has been bad , and it looks like it might stay like that for the upcoming months as well !

#COVID19India",Godwin,"Kerala, India ????",0,0,2020-05-31 08:22:18
49,"Our Society got one Covid Positive case today ,Sector 100 Noida. ???????? #COVID19India #COVIDUpdates https://t.co/LaIi3HDd5C",Rahul Tyagi,New Delhi,0,0,2020-05-31 08:22:09
50,"RT @dt_next: The temple administration has decided to engage 1,000 migrant workers and even released phone numbers on which #migrants can c…",MigrantsAid,World,0,1,2020-05-31 08:20:06
51,RT @SandipGhose: The problem with Corona is the older generation are more vulnerable to the virus but would be less worried about jobs - th…,Jamie Noble,,0,3,2020-05-31 08:20:05
52,RT @Mass_Maharaja: Ulaganayagan @ikamalhaasan speaks to Kerala Health Minister Shailaja teacher in #Maiamtalks #?????????? For those who do…,KH_MAIAM,Mumbai & Chennai,0,44,2020-05-31 08:19:32
53,"The temple administration has decided to engage 1,000 migrant workers and even released phone numbers on which… https://t.co/BFWoBnMXnG",DT Next,"Chennai, India",1,1,2020-05-31 08:19:10
54,"RT @SARINKUMAR6: #navimumbai #COVID?19
#COVID19India #Covid_19india
#Nerul #Vashi #Seawoods #Koparkhairane #Ghansoli #Sanpada #Panvel #Kamo…",????? world,"Mumbai, India",0,2,2020-05-31 08:18:59
55,RT @airnews_ghy: Cases have been filed By Dhubri Police against the proprietors of ten nos of Shops located in Dhubri town area for doing b…,PRADIP SAHA,"Dhubri, India",0,1,2020-05-31 08:18:52
56,RT @SandipGhose: The problem with Corona is the older generation are more vulnerable to the virus but would be less worried about jobs - th…,Ash Rockzz,India,0,3,2020-05-31 08:17:46
57,"@romanaisarkhan @ABPNews Do u really think that modi govt should go with unlocking the country ,when there are incr… https://t.co/TfOZ6rAn5T",im@sagar,"Pune, India",0,0,2020-05-31 08:17:28
58,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",between two shades of grey,on a flying carpet,0,15,2020-05-31 08:17:19
59,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Prakash,"Guwahati,Shillong&Delhi",0,15,2020-05-31 08:17:08
60,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,S Mobarak Nazir Azmi,India,0,93,2020-05-31 08:16:50
61,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Shubhra Verma,,0,15,2020-05-31 08:16:38
62,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,Rohan Srivastava,,0,93,2020-05-31 08:16:38
63,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Kas,,0,15,2020-05-31 08:16:33
64,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,Sandhumanminder,Earth,0,93,2020-05-31 08:16:25
65,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Girish,,0,15,2020-05-31 08:16:22
66,"RT @kanwalll_: So why amity is asking us to pay full amount of fees ??
Amity be cooperative with your students?
@ugc_india @AmityUni #amity…",Gaurav Chhonker,,0,5,2020-05-31 08:16:18
67,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Argh Gentum,Omnipresent,0,15,2020-05-31 08:16:13
68,"RT @ayazrazakhan6: @ChouhanShivraj @narendramodi Mama ji , Students want Justice
#GeneralPromotionToMPStudent 
@PMOIndia @narendramodi @DrR…",Rishu Sharma,"Indore,India",0,4,2020-05-31 08:16:07
69,"RT @MonishJ94815458: Risking lifes of students and teachers just for politics and funds.
Wahh @ChouhanShivraj mama ji wahh! @OfficeofSSC @u…",Tanishk Jain,,0,3,2020-05-31 08:15:57
70,"A senior official from government medical college and hospital, who attended the meeting said, “I have gone into ho… https://t.co/p8tTlGqEPL",Sabah Kashmiri,,1,0,2020-05-31 08:15:54
71,A senior officer in #JammuAndKashmir tested positive for #coronavirus disease #Covid19 on Saturday. This comes a fe… https://t.co/1dwlJRwrGK,Sabah Kashmiri,,1,0,2020-05-31 08:15:52
72,"Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Yayathi Puru,,5,15,2020-05-31 08:15:48
73,"RT @iPrashant_IND: Dear Prime minister @narendramodi ji, 
Citizens of India don't have right to know the amount deposited in @PMCares fund?…",Sumit Kumar,"Ranchi,Jharkhand",0,1,2020-05-31 08:15:37
74,The problem with Corona is the older generation are more vulnerable to the virus but would be less worried about jo… https://t.co/vDE2Pv9Xp2,GhoseSpot,mostly on the road,14,3,2020-05-31 08:15:37
75,RT @iVikasAgrawal: I am honoured to receive the certificate of appreciation for the fight against #COVID19India in lockdown. It is more tha…,Vicks Solanki,Alamut.,0,11,2020-05-31 08:15:34
76,"HIV is much better the Covid-19 .
Jo pelega vhi jhelega.
#CoronaUpdatesInIndia #COVID19India",Anuj jain,"Bhopal, Madhya Pradesh",0,0,2020-05-31 08:15:21
77,RT @iVikasAgrawal: I am honoured to receive the certificate of appreciation for the fight against #COVID19India in lockdown. It is more tha…,Vigilant,DarkLord,0,11,2020-05-31 08:14:30
78,@lokeshjain767 Lockdown to Khulna de ?? #CoronavirusIndia #COVID19India,Nagendra Singh,Delhi NCR,0,0,2020-05-31 08:14:13
79,"RT @ShamikaRavi: #DailyUpdate #COVID19India 
As total cases continue to rise, ACTIVE cases are bunching...still a wait and watch situation…",E.R. Sakthivel DFI,,0,217,2020-05-31 08:14:12
80,@narendramodi now U have opened lockdown &amp; it's good but please convey and plan for very strict 1 month lockdown. W… https://t.co/AFYQfO2rYO,Manoj Krishna C,Bangalore,0,0,2020-05-31 08:14:01
81,"RT @AvdheshanandG: Your surrounding environment influences the state of your mind.  Try to create a divine, pure and beautiful surrounding…",???? ?????? ????????????????? ??????,,0,217,2020-05-31 08:14:00
82,"RT @AvdheshanandG: Your surrounding environment influences the state of your mind.  Try to create a divine, pure and beautiful surrounding…",?????? ????? ?? u.p.,"Mau, India",0,217,2020-05-31 08:13:39
83,"RT @knockknockhell: Pic 1 : Old age Yumdoot 
Pic 2 : Modern Age Yumdoot 

@NorbertElekes 
#France #Covid19India #COVID2019india #lockdownef…",Dr. S. Chowdhuri,?????-?????,0,2,2020-05-31 08:12:57
84,"RT @ayazrazakhan6: @ChouhanShivraj @narendramodi Mama ji , Students want Justice
#GeneralPromotionToMPStudent 
@PMOIndia @narendramodi @DrR…",Anish,,0,4,2020-05-31 08:11:30
85,"A million dollar pic, u r a Super PJ brother. 
@javeddar786 
#COVID 
#COVID19India 
#COVID19Pandemic… https://t.co/1T1uhoN8My",rahi shoaib mohd,"Anantnag,Jammu And Kashmir",0,0,2020-05-31 08:11:28
86,"CDC ""Decision Trees"" is it safe to reopen businesses, communities, schools, camps, daycares &amp; mass transit?… https://t.co/mBWjxtHf5z",A Digital Magazine - Espreson,"Asansol, India",0,0,2020-05-31 08:11:28
87,"RT @MonishJ94815458: Risking lifes of students and teachers just for politics and funds.
Wahh @ChouhanShivraj mama ji wahh! @OfficeofSSC @u…",Vikalp Gautam,,0,3,2020-05-31 08:11:14
88,"RT @AvdheshanandG: Your surrounding environment influences the state of your mind.  Try to create a divine, pure and beautiful surrounding…",Adv Anand Mishra,?????? ?? ???? ???,0,217,2020-05-31 08:10:49
89,#Jammu &amp; #Kashmir recorded the highest single day increase of 177 new #Covid19 cases on Saturday taking the overall… https://t.co/vkVDl5Rqaw,Sabah Kashmiri,,4,0,2020-05-31 08:10:33
90,2020 Successful ongoing project 'Feed the Hungry'! A big thankyou to all supporters &amp; volunteers! And a big big tha… https://t.co/o028EJQ9Pm,PSF-India,Hyderabad,0,0,2020-05-31 08:10:25
91,The Real Heros in a pandemic- #Maharashtra #Police personnel need to take more Precautions/care as the #Covid-19 in… https://t.co/NM6oB8JLHm,Mahendra Shinde,,0,0,2020-05-31 08:09:58
92,Malls will be open. Doesn’t malls have centralised AC system? Hospitals have shut down their centralised systems be… https://t.co/Z6JfkPKvzO,Pain Killer,Twitter,0,0,2020-05-31 08:09:41
93,"The rest of the world opens up when Coronavirus cases drop. India opens up when cases spike.
#COVID19India",Shahid Akhtar,"Ghaziabad, India",0,0,2020-05-31 08:09:37
94,"Ohh I didn't knew this is called #SocialDistancing in Kolkata, West Bengal
Do they obey #Lockdown Guidelines?
I Won… https://t.co/xk5Psr3FpW",Rahul,,0,0,2020-05-31 08:08:56
95,"RT @ayazrazakhan6: @ChouhanShivraj @narendramodi Mama ji , Students want Justice
#GeneralPromotionToMPStudent 
@PMOIndia @narendramodi @DrR…",Varun kumar niranjan,,0,4,2020-05-31 08:08:46
96,RT @ShrayashUpadhy2: Is RGPV or M.P Govt. capable of replacing a son/daughter of a family if something happens to them?Exams are important…,Ajay kumar Sahu,India,0,1,2020-05-31 08:08:30
97,"RT @ShrayashUpadhy2: General Promotion is not a demand but a necessity of time. 
JAAN HAI TO JAHAN HAI..!! ????
#GeneralPromotionToMPStudents…",Ajay kumar Sahu,India,0,1,2020-05-31 08:08:21
98,"RT @ayazrazakhan6: @ChouhanShivraj @narendramodi Mama ji , Students want Justice
#GeneralPromotionToMPStudent 
@PMOIndia @narendramodi @DrR…",Moinca,,0,4,2020-05-31 08:08:18
99,"RT @Mundra08: Justice Pardiwala was part of Gujarat HC bench that heard
suo motu proceedings +PILs that raised various issues being faced b…",melee,,0,1,2020-05-31 08:07:46
100,"RT @ManavDharam: In this hour of need, #Manav_Utthan_Sewa_Samiti, #Howrah (West Bengal ) distributed grocery packages to needy people by fo…",GouravRanapaheli,"Siliguri, India",0,13,2020-05-31 08:07:37
101,"Risking lifes of students and teachers just for politics and funds.
Wahh @ChouhanShivraj mama ji wahh! @OfficeofSSC… https://t.co/qFltkAc3MO",Monish Jain,"Bhopal, India",2,3,2020-05-31 08:07:07
102,"@ChouhanShivraj @narendramodi Mama ji , Students want Justice
#GeneralPromotionToMPStudent 
@PMOIndia @narendramodi… https://t.co/4Dv173fVCP",ayaz raza khan,,4,4,2020-05-31 08:06:57
103,"RT @Spirits10Funn: @A_LouisePowell Hi folks #WritingCommunity #poets As said earlier, my new most awaited Poem ""Corona Times"" is out now on…",SAKrishnan,,0,2,2020-05-31 08:06:02
104,RT @theschoolpostin: UNLOCKDOWN-1 may be a good news for business but public in general now would need to be more #selfdiscipline #vigilant…,Swati Nitin Gupta,"New Delhi, India",0,1,2020-05-31 08:05:58
105,"Dr Naveed Shah, Superintendent of Srinagar Chest Diseases Hospital, tweeted: ""Seeing the travellers who test positi… https://t.co/Fu6jyZQLMj",IANS Tweets,New Delhi,2,0,2020-05-31 08:05:53
106,"RT @LtGenGurmit: 1/n
31 May 2020 :
#COVID19India, #CoronavirusIndia, #Lockdown Unlock ???

No Vaccine &amp; Solution in Immediate Sight, Yet

M…",Rahul Choudhary,"New Delhi, India",0,6,2020-05-31 08:04:55
107,"Slapping a Gulam with much logic within 30 sec.
Modi for nation.????

#COVID19India #JaiHind 
#JaiShriRam https://t.co/bIpO4jGpyX",Basavaraj ????? ????,"Bengaluru, India",0,0,2020-05-31 08:04:42
108,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,Dharm,Earth,0,93,2020-05-31 08:04:27
109,"RT @AvdheshanandG: Your surrounding environment influences the state of your mind.  Try to create a divine, pure and beautiful surrounding…",Anil Amrutwar,"Nanded, India",0,217,2020-05-31 08:03:40
110,"Covid cases spike to a record high of 129 in Odisha; Tally rises to 1948
#Odisha #OdishaFightsCorona… https://t.co/19eBTZvpTl",PenNews,,0,0,2020-05-31 08:03:34
111,"What do you think about this? 

#Indianpolice

#GeorgeFloydMurder 
#COVID19India https://t.co/fUnzyGbvaM",N a t u r e `|^,Chennai,0,0,2020-05-31 08:03:25
112,Hehehe ..if u r strong and smart u can survive ..be safe and maintain social distancing #COVID19India https://t.co/XjslrhehQX,Geet,Chennai,2,0,2020-05-31 08:02:22
113,RT @abantika77: The signatories #Covid19India https://t.co/2Ej8OjyyTZ,Kabir Firaque,"New Delhi, Guwahati",0,2,2020-05-31 08:01:45
114,RT @afiindia: #NationalGames2020 may suffer due to #COVID19India #coronavirus https://t.co/1TD4wLFxpp,shubhankarshubham,,0,9,2020-05-31 08:01:39
115,"In the last 24 hours, 91 police personnel have tested positive for #COVID19 have been reported. Total number of pos… https://t.co/xZII3KOwof",Waqas Ahmad Mir,Anantnag kashmir,0,0,2020-05-31 08:01:21
116,RT @iVikasAgrawal: I am honoured to receive the certificate of appreciation for the fight against #COVID19India in lockdown. It is more tha…,Manisha Singhal,"?? ??????, ????",0,11,2020-05-31 08:00:12
117,"You may visit https://t.co/iJFyUoxphE to see #CoronaVirusUpdates, guidelines, &amp; awareness materials for #COVID19… https://t.co/6bZUaG36f5",Covid India Seva,India,4,0,2020-05-31 08:00:01
118,"@DDnewschd
#raining #COVID19India @IMDWeather 
cool and green. 
Stay home stay safe. https://t.co/UA3awjI9R5",AJAY K J ????,"Chandigarh, India",1,0,2020-05-31 07:59:45
119,"RT @SunilMohan1958: @RBI @FinMinIndia @YESBANK is asking for deposits from gullible customers whereas already battered from COVID-19, sr ci…",Karan Gupta,,0,14,2020-05-31 07:59:13
120,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic. https://t.co/tW8EeP0P21,Gp_edit,,0,93,2020-05-31 07:59:00
121,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic. https://t.co/tW8EeP0P21,mastan khan,,0,93,2020-05-31 07:57:52
122,"RT @AvdheshanandG: Your surrounding environment influences the state of your mind.  Try to create a divine, pure and beautiful surrounding…",Dr Ragini Agarwal,,0,217,2020-05-31 07:57:25
123,"RT @satyajeettambe: Some people are busy doing politics... 
We are busy in our commitment for people ! 

Blood Donation Drive Continues...…",Ahmed pathan,,0,31,2020-05-31 07:55:50
124,"All religious places should be shut for a long time.
We don't need religious places to open irrespective of religio… https://t.co/dqkeiVVJwQ",Akki,,1,0,2020-05-31 07:55:44
125,RT @MapmyIndiaMove: 8380 new cases reported in the last 24 hrs in India. Stay updated #coronavirus stats in India with MapmyIndia COVID-19…,????Soniyaskjain ????,INDIA,0,1,2020-05-31 07:55:20
126,"RT @PIB_India: Updates on #COVID19India 

?? 82,369 patients cured; 11,264 cured in last 24 hrs

?? Recovery rate jumps to 47.40%

 ??1,26,…",McWater Wright,"London, England",0,29,2020-05-31 07:54:32
127,RT @iVikasAgrawal: I am honoured to receive the certificate of appreciation for the fight against #COVID19India in lockdown. It is more tha…,??????? ??????,,0,11,2020-05-31 07:54:31
128,"RT @DataGuyRedux: #COVID19India #COVIDUpdates #Covid_19 #Covid_19india #COVID__19 

Total cases -: 181826
New Cases -: 8332
Growth rate -:…",Rajesh,"Sharjah, United Arab Emirates",0,20,2020-05-31 07:54:15
129,"RT @ManavDharam: In this hour of need, #Manav_Utthan_Sewa_Samiti, #Howrah (West Bengal ) distributed grocery packages to needy people by fo…",Shiyal Dilip,"Navsari, India",0,13,2020-05-31 07:54:15
130,"RT @HelloKuruvi: No restrictions on #Interstate, #Intrastate movements of person and goods. No special permission/approval/ e-permit will b…",SA,,0,3,2020-05-31 07:53:39
131,"RT @LavekarBharati: Our Volunteers Distributing Essential Grocery Packets &amp; #Sanitary_Pads,to Needy People in #Ward_61 #Versova_Vidhansabha…",Seetanand Shinge,,0,2,2020-05-31 07:53:38
132,"RT @CNBCTV18Live: #COVID19India Update | India sees the biggest single-day rise in total cases that is by 8,380 taking the total to 1,82,14…",Santosh | content writer| Counsellor,,0,9,2020-05-31 07:53:31
133,"@mybmc Mumbai Corporation doing a good job in fight against
#Covid19India Have set up 200 bed covid centre in Dhara… https://t.co/7HL01pcAwQ",Nitin Parikh,India,0,0,2020-05-31 07:53:25
134,"Jeremy Philemon has developed https://t.co/A3P4GGm8rD website
Thank you for your contribution to fight against… https://t.co/FE8SigTxCS",Raju Prasad,India,0,0,2020-05-31 07:53:15
135,"RT @MapmyIndiaMove: Get COVID-19 ""Complete Info""- Just not stats on 
@MapmyIndia #COVID-19 Guide. Now find, track and report local everythi…",Swapan Ojha,,0,33,2020-05-31 07:52:44
136,RT @MapmyIndiaMove: 7466 new cases reported in the last 24 hrs in India. Stay updated #coronavirus stats in India with MapmyIndia COVID-19…,????Soniyaskjain ????,INDIA,0,3,2020-05-31 07:52:21
137,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,Rajen,,0,93,2020-05-31 07:52:17
138,"RT @ShamikaRavi: #DailyUpdate #COVID19India 
As total cases continue to rise, ACTIVE cases are bunching...still a wait and watch situation…",Kapil P, ,0,217,2020-05-31 07:51:33
139,"RT @CNBCTV18Live: #COVID19India Update | India sees the biggest single-day rise in total cases that is by 8,380 taking the total to 1,82,14…",Danny??,Global,0,9,2020-05-31 07:50:58
140,"India registers highest single-day spike of 8,380 COVID-19 cases #COVID19India",Tirupati Reddy,"Hyderabad, India",0,0,2020-05-31 07:50:15
141,"RT @ShamikaRavi: #DailyUpdate #COVID19India 
As total cases rise, India's ACTIVE cases have declined for the first time compared to previou…",Dimmpu Bhawnani,India,0,875,2020-05-31 07:50:06
142,"RT @ManavDharam: In this hour of need, #Manav_Utthan_Sewa_Samiti, #Howrah (West Bengal ) distributed grocery packages to needy people by fo…",Shakti Singh,Faridabad,0,13,2020-05-31 07:49:58
143,"Considering the increasing number of new positive cases in the country, experts suggest the existence of community… https://t.co/ZkwA7cTt12",Sakal Times,"Maharashtra, India",1,0,2020-05-31 07:49:41
144,RT @Shomes_quest: With many experts predicting that the probability or the peak of it would be in the month of July when the cases would  b…,?????????,,0,1,2020-05-31 07:49:26
145,"#COVID__19 #COVID19India 

Delhi administration faces #financial problem with #NoAid from #centralgovernment which… https://t.co/XZkbbjDzmr",Shashwat Das,"New Delhi, India",0,0,2020-05-31 07:49:14
146,"RT @CNBCTV18News: Herd #Immunity is achieved when the majority of population becomes immune to an infectious disease, either because they h…",Insider,Cosmos,0,1,2020-05-31 07:49:06
147,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,Gaurav,,0,93,2020-05-31 07:48:51
148,"@livemint - Two sentences, one typo, #HiyoHiyo! #Lockdown #COVID19India #TNLockdown #Lockdown5 #UnlockingIndia https://t.co/8YaoHjh53i",Bala Subramanian,,0,0,2020-05-31 07:48:41
149,RT @mohuadazzTOI: How swarms of unmanned aerial vehicles dotting Mumbai’s skies have become a key ally for cops in the battle against coron…,Drone Federation of India,"Mumbai, India",0,1,2020-05-31 07:48:22
